0, 2022, 19, 12.89, 4.35, 26.67, 1
1, 2022, 18, 13.95, 0.00, 28.55, 0
2, 2022, 18, 14.80, 0.00, 31.51, 0
3, 2022, 17, 15.97, 0.00, 41.88, 0
4, 2022, 16, 13.28, 0.00, 51.14, 0
5, 2022, 15, 12.84, 0.00, 52.34, 0
6, 2022, 14, 7.90, 0.00, 68.28, 0
7, 2022, 13, 7.41, 0.00, 61.34, 0
8, 2022, 12, 2.44, 0.00, 54.64, 0
9, 2022, 11, 4.60, 0.00, 35.01, 1
10, 2022, 10, 6.27, 1.10, 27.25, 0
11, 2022, 9, 8.93, 5.91, 30.35, 0
0, 2023, 8, 13.42, 7.95, 25.64, 0
1, 2023, 7, 14.16, 11.53, 27.08, 0
2, 2023, 8, 15.33, 6.23, 43.76, 0
3, 2023, 8, 14.80, 0.00, 44.78, 0
4, 2023, 7, 13.95, 0.00, 56.06, 0
5, 2023, 6, 11.17, 0.00, 59.34, 0
6, 2023, 5, 9.19, 0.00, 62.84, 0
7, 2023, 4, 6.17, 0.00, 53.51, 0
8, 2023, 3, 4.64, 0.00, 40.85, 0
9, 2023, 2, 4.33, 0.00, 42.24, 0
10, 2023, 1, 5.00, 2.08, 19.74, 0
11, 2023, 2, 9.22, 7.38, 18.85, 1
0, 2024, 3, 11.13, 9.90, 19.11, 0
1, 2024, 4, 13.19, 18.21, 26.90, 0
2, 2024, 5, 16.81, 17.35, 40.49, 0
3, 2024, 6, 16.83, 17.87, 37.30, 0
4, 2024, 7, 13.81, 11.93, 53.38, 0
5, 2024, 8, 10.03, 3.93, 64.77, 0
6, 2024, 7, 7.36, 0.00, 60.69, 0
7, 2024, 6, 4.78, 0.00, 58.35, 0
8, 2024, 5, 5.88, 0.00, 49.24, 0
9, 2024, 3, 6.18, 7.76, 26.88, 1
10, 2024, 4, 6.42, 16.22, 26.25, 0
11, 2024, 5, 9.88, 23.87, 24.97, 0
0, 2025, 6, 9.64, 21.23, 16.41, 0
1, 2025, 7, 15.81, 23.58, 25.01, 0
2, 2025, 8, 16.66, 23.90, 33.82, 0
3, 2025, 9, 15.63, 14.93, 54.25, 0
4, 2025, 10, 14.08, 5.41, 48.07, 0
5, 2025, 9, 9.82, 0.00, 51.23, 0
6, 2025, 8, 9.45, 0.00, 49.61, 0
7, 2025, 7, 4.44, 0.00, 56.32, 0
8, 2025, 6, 5.04, 0.00, 40.39, 0
9, 2025, 5, 6.17, 1.74, 37.17, 0
10, 2025, 4, 7.19, 10.60, 30.18, 0
11, 2025, 5, 7.74, 8.00, 14.75, 0
0, 2026, 6, 13.43, 3.94, 13.74, 0
1, 2026, 5, 13.65, 8.90, 35.26, 1
2, 2026, 6, 17.18, 5.65, 42.77, 0
3, 2026, 5, 15.66, 0.00, 47.29, 0
4, 2026, 4, 12.87, 0.00, 51.92, 0
5, 2026, 3, 9.80, 0.00, 58.19, 0
6, 2026, 2, 7.40, 0.00, 64.26, 0
7, 2026, 1, 5.22, 0.00, 44.67, 0
8, 2026, 0, 5.83, 2.18, 41.74, 0
9, 2026, 1, 3.18, 6.96, 38.23, 0
10, 2026, 2, 4.87, 11.82, 21.77, 0
11, 2026, 3, 6.49, 10.20, 11.11, 0
0, 2027, 4, 11.85, 7.38, 14.18, 0
1, 2027, 5, 13.23, 15.55, 28.40, 0
2, 2027, 6, 17.53, 18.22, 33.23, 0
3, 2027, 7, 16.23, 13.30, 44.98, 0
4, 2027, 8, 13.17, 7.30, 63.67, 1
5, 2027, 7, 12.10, 0.00, 62.03, 0
6, 2027, 6, 9.98, 0.00, 66.11, 0
7, 2027, 5, 6.07, 0.00, 57.60, 0
8, 2027, 4, 4.88, 0.00, 47.63, 0
9, 2027, 3, 2.98, 4.80, 32.01, 0
10, 2027, 4, 5.88, 3.93, 18.18, 0
11, 2027, 3, 8.72, 0.03, 13.86, 0
